Symbol,% Chg(Open),Last Trade,Volume    ,DM Average (ADX) 14 Day,P/E (ttm),Market Cap,Daily Low Count,% Chg from 5 day Avg Close,RSI 10 Day,EMA 15 Day,MACD ,Williams % R,% Chg of Range from Low,Money Flow Percent,Bollinger Band®(Middle),Industry                            ,Exchange,Description              ,Sub-Industry                         ,Dividend,Reported Close,Bid   ,Ask Size,Avg Vol 5 Day,Avg Vol 6 Mo,% Vol Over 5 Day Avg Vol,% Vol Over 6 Mo Avg Vol,In S&P 500,Open  ,High  ,Ask   ,% Held By Institutions,Avg Vol 20 Day,Avg Vol YTD,% Vol Over 20 Day Avg Vol,% Vol Over YTD Avg Vol,In S&P Mid Cap 400,Sector                ,Dividend Yield,Prev Close,Low   ,Bid Size,Avg Vol 1 Mo,% Vol Over Yesterday's Vol,% Vol Over 1 Mo Avg Vol,Avg $ Vol 5 Day,In S&P Small Cap 600,SER,S&P STARS,S&P Quality Ranking,% Recommend Buy,% Recommend Buy - Hold,% Recommend Hold,% Recommend Hold - Sell,% Recommend Sell,Recommendation Num,Recommendation Avg,Net Income,Revenue,Earnings,Shares outstanding,EPS(ttm),EPS (Yr-0),EPS (Yr-1),EPS (Latest),EPS (Yr-2),EPS (Yr-3),EPS (Yr-4),% 5 Yr Projected Growth Rate,% Margin,Sales per Employee,Change ,Chg from Beg of Mo Open,% Chg from 20 day Avg Close,Chg from 6 Mo Avg Close,% Chg from YTD Avg Close,% Total Return (YTD2),% Total Return (YTD5),% Total Return (9 Mo),Beta Value,High Prev Day,High 1 Mo,High 52 Wk - Daily High,Low 20 Day,Low 52 Wk,% Chg of Range from High,[SMA 15 Day - Last Trade] (%),% Change,Gap   ,Chg from Beg of Yr Open,% Chg from 6 Day Close,Chg from 1 Mo Avg Close,% Chg from 6 Mo Avg Close,% Total Return (YTD0),% Total Return (YTD3),% Total Return (3 Mo),% Return on Equity,Daily High Count,High 5 Day,High YTD,Low Prev Day,Low 1 Mo,Low 52 Wk - Daily Low,High-Last Trade,Chg(Open),% Gap ,Chg from 5 day Avg Close,Chg from 20 day Avg Close,% Chg from 1 Mo Avg Close,Chg from YTD Avg Close,% Total Return (YTD1),% Total Return (YTD4),% Total Return (6 Mo),% Return on Assets,High 20 Day,High 52 Wk,Low 5 Day,Low YTD,Trading Range,Relative Strength,Low-Last Trade,Relative P/E Ratio,Dividend Payout Ratio,P/E Ratio (Latest Actual),Price/Book Ratio,Long Term D/E,P/E Ratio (Estimated),P/S Ratio,SMA 10 Day,SMA 50 Day,SMA 120 Day,EMA 20 Day,EMA 100 Day,RSI from Close 10 Day,RSI 50 Day,DM (DI-) Negative 14 Day,% K  ,Bollinger Band®(Top),Momentum from Close 20 Day,Momentum 60 Day,SMA 60 Day,SMA 200 Day,SMA 15 Day,EMA 50 Day,EMA 120 Day,RSI 30 Day,RSI from Close 50 Day,DM (DX) 14 Day,% D  ,MACD Signal,Momentum 40 Day,Momentum from Close 60 Day,SMA 20 Day,SMA 100 Day,EMA 60 Day,RSI from Close 30 Day,DM (DI+) Positive 14 Day,% D Slow,Bollinger Band®(Bottom),Momentum 20 Day,Momentum from Close 40 Day,Money Flow , 
MWA   ,-0.60      ,11.54     ,820811    ,29.74                  ,29.50    ,1.89B     ,8              ,-0.70                     ,26.04     ,11.86     ,-0.25,-94.67      ,27.03                  ,-17.53            ,11.95                  ,Machinery                           ,NYSE    ,MUELLER WATER PRODUCTS IN,Industrial Machinery                 ,0.16    ,11.62         ,11.54 ,4800    ,1839563      ,1302073     ,44.62                   ,63.04                  ,No        ,11.61 ,11.62 ,11.55 ,89.59                 ,1798060       ,1524041    ,45.65                    ,53.86                 ,No                ,Industrials           ,1.40          ,11.62     ,11.51 ,500     ,1749212     ,39.31                     ,46.92                  ,21.54M         ,No                  ,C  ,--       ,B-                 ,45.45          ,18.18                 ,36.36           ,--                     ,--              ,11                ,1.91              ,63.90M    ,1.14B  ,63.90M  ,162.26M           ,0.39    ,0.39      ,0.19      ,0.48        ,0.34      ,0.25      ,-0.69     ,16.15                       ,5.61    ,292.02            ,-0.08  ,-0.26                  ,-2.75                      ,-1.12                  ,-8.35                   ,+22.47               ,+274.04              ,+4.37                ,+1.25     ,11.82        ,12.71    ,2.58                   ,11.50     ,9.55     ,72.97                   ,2.76                         ,-0.69   ,-0.01 ,-1.97                  ,-0.01                 ,-0.40                  ,-8.81                    ,-12.42               ,+27.97               ,-10.91               ,+16.36            ,2               ,11.91     ,14.01   ,11.50       ,11.50   ,-1.96                ,0.08           ,-0.07    ,-0.09 ,-0.08                   ,-0.33                    ,-3.32                    ,-1.06                 ,+20.99               ,+106.81              ,-5.26                ,+5.38             ,12.71      ,14.20     ,11.50    ,11.50  ,0.11         ,10.00            ,-0.03         ,1.27              ,--                   ,29.79                    ,--              ,115.49       ,23.98                ,1.66     ,11.75     ,12.53     ,12.78      ,11.95     ,12.51      ,28.59                ,42.72     ,31.17                   ,5.33 ,12.40               ,-0.71                     ,-1.81          ,12.61     ,12.42      ,11.86     ,12.34     ,12.47      ,37.72     ,43.23                ,41.61         ,18.48,-0.24      ,-1.47          ,-1.80                     ,11.95     ,12.93      ,12.42     ,38.56                ,12.85                   ,25.35   ,11.50                  ,-0.72          ,-2.08                     ,-4468.60   , 
NEWM  ,-0.25      ,13.82     ,154146    ,30.04                  ,19.79    ,740.05M   ,10             ,-1.47                     ,27.15     ,14.29     ,-0.32,-96.70      ,29.33                  ,-23.20            ,14.42                  ,Media                               ,NYSE    ,NEW MEDIA INVESTMENT GROU,Publishing                           ,1.40    ,13.84         ,13.81 ,500     ,475897       ,577668      ,32.39                   ,26.68                  ,No        ,13.85 ,13.92 ,13.82 ,82.84                 ,404586        ,410694     ,38.10                    ,37.53                 ,No                ,Consumer Discretionary,10.10         ,13.84     ,13.77 ,1400    ,412277      ,20.74                     ,37.39                  ,6.70M          ,Yes                 ,C  ,--       ,--                 ,33.33          ,--                    ,33.33           ,--                     ,33.33           ,3                 ,3.00              ,31.64M    ,1.26B  ,31.64M  ,53.47M            ,0.70    ,0.70      ,1.53      ,0.30        ,-0.10     ,14.72     ,-0.51     ,10.50                       ,2.52    ,124.39            ,-0.02  ,-0.44                  ,-4.03                      ,-1.52                  ,-9.11                   ,-30.26               ,0.00                 ,-16.03               ,+1.25     ,14.26        ,15.31    ,5.98                   ,13.81     ,13.81    ,70.67                   ,3.74                         ,-0.18   ,+0.01 ,-2.24                  ,-0.03                 ,-0.67                  ,-9.89                    ,-11.40               ,+16.19               ,-9.03                ,+4.51             ,4               ,14.30     ,16.34   ,13.81       ,13.81   ,0.04                 ,0.10           ,-0.04    ,+0.07 ,-0.21                   ,-0.58                    ,-4.62                    ,-1.39                 ,-6.94                ,0.00                 ,-3.97                ,+2.50             ,15.03      ,19.89     ,13.81    ,13.81  ,0.14         ,10.00            ,-0.04         ,0.85              ,--                   ,19.79                    ,4.20            ,44.88        ,46.13                ,0.59     ,14.14     ,15.04     ,15.34      ,14.41     ,15.26      ,27.65                ,41.08     ,34.77                   ,3.30 ,15.06               ,-0.94                     ,-2.11          ,15.15     ,16.03      ,14.33     ,14.88     ,15.37      ,36.78     ,41.21                ,46.23         ,7.36 ,-0.29      ,-2.01          ,-2.29                     ,14.42     ,15.49      ,14.98     ,36.99                ,12.79                   ,11.57   ,13.78                  ,-0.84          ,-2.09                     ,-1320.55   , 
GWW   ,+0.03      ,231.00    ,452990    ,31.04                  ,23.42    ,13.58B    ,4              ,-0.91                     ,22.12     ,237.93    ,-4.30,-93.25      ,36.32                  ,-28.00            ,240.60                 ,Trading Companies & Distributors    ,NYSE    ,GRAINGER (W W) INC       ,Trading Companies & Distributors     ,4.88    ,231.20        ,230.97,200     ,840232       ,637120      ,53.91                   ,71.10                  ,Yes       ,230.93,232.28,231.05,82.64                 ,628560        ,634752     ,72.07                    ,71.36                 ,No                ,Industrials           ,2.10          ,231.20    ,230.27,100     ,624301      ,42.08                     ,72.56                  ,197.09M        ,No                  ,D  ,***      ,A                  ,13.64          ,--                    ,68.18           ,9.09                   ,9.09            ,22                ,3.00              ,632.84M   ,10.14B ,632.84M ,58.72M            ,9.87    ,9.87      ,11.58     ,11.87       ,11.45     ,11.13     ,9.52      ,12.50                       ,5.98    ,405.49            ,-0.20  ,-1.74                  ,-3.91                      ,-2.62                  ,-6.00                   ,+2.96                ,+18.56               ,+4.07                ,+0.76     ,234.66       ,252.86   ,30.44                  ,229.77    ,201.94   ,63.68                   ,3.37                         ,-0.09   ,-0.27 ,-2.42                  ,-0.03                 ,-11.25                 ,-1.12                    ,+0.03                ,-2.20                ,+0.70                ,+31.14            ,13              ,240.89    ,262.71  ,229.77      ,229.77  ,-28.33               ,1.28           ,+0.07    ,-0.12 ,-2.11                   ,-9.40                    ,-4.64                    ,-14.75                ,+1.84                ,+11.45               ,+4.60                ,+10.96            ,252.42     ,262.72    ,229.77   ,229.05 ,2.01         ,32.00            ,-0.73         ,1.01              ,--                   ,23.42                    ,19.86           ,96.60        ,19.48                ,1.34     ,236.33    ,247.98    ,235.11     ,239.59    ,239.69     ,22.39                ,45.31     ,30.78                   ,6.75 ,251.21              ,-21.11                    ,-0.50          ,246.52    ,230.77     ,238.79    ,242.68    ,238.30     ,39.24     ,45.41                ,49.26         ,9.01 ,-3.27      ,-22.45         ,-1.06                     ,240.60    ,240.55     ,242.36    ,39.38                ,10.46                   ,12.34   ,230.00                 ,-19.59         ,-20.40                    ,-2570.85   , 
AEL   ,+0.08      ,23.62     ,166597    ,31.17                  ,24.38    ,2.09B     ,14             ,+0.44                     ,31.83     ,24.13     ,-0.63,-68.73      ,43.18                  ,-12.91            ,24.56                  ,Insurance                           ,NYSE    ,AMERICAN EQTY INVT LIFE H,Life & Health Insurance              ,0.24    ,23.65         ,23.60 ,100     ,681450       ,624733      ,24.45                   ,26.67                  ,No        ,23.60 ,23.87 ,23.62 ,96.23                 ,579449        ,561356     ,28.75                    ,29.68                 ,No                ,Financials            ,1.00          ,23.65     ,23.43 ,200     ,564608      ,37.52                     ,29.51                  ,16.02M         ,Yes                 ,A  ,--       ,B+                 ,37.50          ,25.00                 ,37.50           ,--                     ,--              ,8                 ,2.00              ,83.24M    ,2.22B  ,83.24M  ,88.28M            ,0.97    ,0.97      ,2.72      ,2.40        ,1.58      ,3.38      ,0.89      ,7.80                        ,3.75    ,4190.12           ,-0.03  ,-0.10                  ,-3.69                      ,+1.46                  ,-4.70                   ,-17.30               ,+93.96               ,+67.67               ,+2.43     ,23.86        ,27.38    ,4.13                   ,22.41     ,12.77    ,56.82                   ,2.16                         ,-0.13   ,-0.05 ,+1.88                  ,+0.01                 ,-1.25                  ,+6.60                    ,+4.92                ,+2.74                ,+4.84                ,+3.93             ,7               ,23.86     ,28.00   ,23.20       ,22.41   ,-10.66               ,0.25           ,+0.02    ,-0.21 ,+0.10                   ,-0.91                    ,-5.00                    ,-1.17                 ,+42.22               ,+64.21               ,+34.76               ,+0.16             ,26.79      ,28.00     ,22.99    ,21.66  ,0.44         ,57.00            ,-0.19         ,1.05              ,--                   ,24.38                    ,0.91            ,32.19        ,9.83                 ,0.94     ,23.58     ,25.29     ,22.67      ,24.38     ,23.42      ,32.27                ,50.54     ,32.08                   ,31.27,26.72               ,-3.04                     ,0.62           ,24.93     ,20.18      ,24.13     ,24.58     ,22.95      ,45.46     ,50.64                ,41.36         ,31.61,-0.53      ,-0.53          ,1.04                      ,24.56     ,23.70      ,24.40     ,45.61                ,13.31                   ,30.43   ,22.39                  ,-2.65          ,-0.55                     ,-1138.64   , 
SEE   ,+0.55      ,43.24     ,872152    ,31.56                  ,17.72    ,8.43B     ,1              ,+0.35                     ,29.07     ,44.33     ,-0.88,-82.61      ,60.98                  ,1.41              ,44.71                  ,Containers & Packaging              ,NYSE    ,SEALED AIR CORP          ,Paper Packaging                      ,0.64    ,43.59         ,43.22 ,500     ,2078133      ,1905713     ,41.97                   ,45.77                  ,Yes       ,43.00 ,43.40 ,43.23 ,93.38                 ,2289542       ,1984362    ,38.09                    ,43.95                 ,No                ,Materials             ,1.50          ,43.59     ,42.98 ,400     ,2350305     ,41.82                     ,37.11                  ,90.57M         ,No                  ,C  ,****     ,B                  ,40.00          ,20.00                 ,40.00           ,--                     ,--              ,15                ,2.00              ,486.40M   ,6.78B  ,486.40M ,193.48M           ,2.46    ,2.46      ,1.62      ,2.73        ,1.20      ,0.58      ,-7.32     ,6.94                        ,7.18    ,294.71            ,-0.35  ,-0.41                  ,-2.50                      ,-2.85                  ,-7.17                   ,-1.96                ,+146.13              ,-4.22                ,+1.30     ,43.95        ,46.72    ,9.43                   ,42.54     ,42.01    ,39.02                   ,3.23                         ,-0.81   ,-0.59 ,-2.43                  ,-0.01                 ,-1.27                  ,-6.13                    ,-3.53                ,+37.75               ,-3.56                ,+85.57            ,20              ,44.20     ,50.62   ,43.24       ,42.54   ,-0.97                ,0.16           ,+0.24    ,-1.35 ,+0.15                   ,-1.12                    ,-2.83                    ,-3.37                 ,-7.97                ,+91.17               ,-4.23                ,+6.58             ,46.48      ,52.83     ,42.91    ,42.54  ,0.42         ,20.00            ,-0.26         ,0.76              ,--                   ,17.72                    ,--              ,645.94       ,15.98                ,1.24     ,44.01     ,46.64     ,46.51      ,44.65     ,46.35      ,32.32                ,42.51     ,36.23                   ,17.39,46.71               ,-1.70                     ,-3.96          ,46.89     ,46.59      ,44.63     ,45.82     ,46.42      ,38.47     ,43.25                ,50.65         ,23.48,-0.77      ,-6.35          ,-3.79                     ,44.71     ,46.89      ,46.01     ,39.63                ,11.87                   ,23.62   ,42.71                  ,-1.19          ,-6.08                     ,410.10     , 
USB   ,+0.15      ,51.47     ,2554624   ,31.57                  ,15.91    ,87.29B    ,15             ,-0.25                     ,26.71     ,52.64     ,-0.75,-86.20      ,70.00                  ,-21.04            ,53.37                  ,Banks                               ,NYSE    ,U S BANCORP              ,Diversified Banks                    ,1.12    ,51.55         ,51.46 ,2000    ,8022345      ,7289309     ,31.84                   ,35.05                  ,Yes       ,51.39 ,51.57 ,51.47 ,71.67                 ,7588405       ,6959378    ,33.66                    ,36.71                 ,No                ,Financials            ,2.20          ,51.55     ,51.22 ,500     ,7507502     ,34.30                     ,34.03                  ,416.61M        ,No                  ,B  ,***      ,B+                 ,10.00          ,13.33                 ,73.33           ,--                     ,3.33            ,30                ,2.73              ,5.94B     ,22.32B ,5.94B   ,1.69B             ,3.24    ,3.24      ,3.16      ,3.48        ,3.08      ,--        ,2.84      ,5.66                        ,30.41   ,271.94            ,-0.08  ,-0.16                  ,-3.40                      ,+1.48                  ,-3.27                   ,+23.72               ,+82.93               ,+29.93               ,+0.83     ,51.62        ,55.81    ,5.04                   ,50.84     ,38.48    ,30.00                   ,2.68                         ,-0.16   ,-0.16 ,-0.16                  ,-0.02                 ,-2.17                  ,+2.95                    ,+0.89                ,+28.94               ,+0.80                ,+14.42            ,20              ,53.17     ,56.61   ,50.84       ,50.84   ,-12.74               ,0.11           ,+0.08    ,-0.31 ,-0.13                   ,-1.82                    ,-4.03                    ,-1.74                 ,+29.94               ,+66.79               ,+21.38               ,+1.37             ,55.81      ,56.61     ,50.84    ,49.99  ,0.35         ,32.00            ,-0.25         ,0.68              ,--                   ,15.91                    ,2.76            ,--           ,14.80                ,3.91     ,52.10     ,53.84     ,50.84      ,52.94     ,51.63      ,27.40                ,49.41     ,33.70                   ,13.80,56.15               ,-3.74                     ,0.17           ,53.39     ,47.44      ,52.84     ,53.11     ,50.99      ,42.65     ,49.66                ,39.16         ,12.87,-0.50      ,-1.94          ,0.58                      ,53.37     ,52.22      ,52.88     ,43.01                ,14.73                   ,15.08   ,50.58                  ,-3.57          ,-2.11                     ,-22841.66  , 
KATE  ,-1.31      ,19.59     ,13611657  ,31.84                  ,19.23    ,2.93B     ,94             ,+1.94                     ,17.67     ,22.73     ,-0.04,-91.60      ,57.53                  ,-3.32             ,23.24                  ,Textiles Apparel & Luxury Goods     ,NYSE    ,KATE SPADE & CO          ,Apparel Accessories & Luxury Goods   ,--      ,22.80         ,19.58 ,1000    ,3561812      ,3620347     ,382.16                  ,375.98                 ,No        ,19.85 ,19.90 ,19.59 ,99.61                 ,2888234       ,3862759    ,471.28                   ,352.38                ,Yes               ,Consumer Discretionary,--            ,22.80     ,19.17 ,2000    ,2861543     ,555.59                    ,475.68                 ,82.15M         ,No                  ,A  ,***      ,B-                 ,38.89          ,5.56                  ,55.56           ,--                     ,--              ,18                ,2.17              ,153.58M   ,1.38B  ,153.58M ,128.29M           ,1.19    ,1.19      ,0.13      ,0.87        ,1.25      ,0.60      ,-0.68     ,27.00                       ,11.12   ,354.23            ,-3.21  ,-3.56                  ,-1.87                      ,+4.18                  ,+8.87                   ,-30.43               ,+73.88               ,+12.71               ,+1.62     ,23.23        ,24.20    ,6.56                   ,22.50     ,14.02    ,42.47                   ,17.70                        ,-14.08  ,-2.95 ,+0.89                  ,-0.15                 ,-0.62                  ,+22.45                   ,+22.12               ,-37.37               ,+24.42               ,+45.50            ,2               ,23.58     ,24.24   ,22.75       ,22.50   ,-5.15                ,0.31           ,-0.26    ,-12.94,+0.43                   ,-0.44                    ,-2.65                    ,+1.86                 ,-8.97                ,+23.04               ,+35.61               ,+14.73            ,24.20      ,26.46     ,22.74    ,17.38  ,0.73         ,94.00            ,-0.42         ,0.83              ,--                   ,19.23                    ,9.97            ,90.65        ,26.22                ,2.12     ,22.75     ,21.73     ,18.72      ,22.77     ,20.42      ,42.78                ,47.83     ,44.32                   ,8.40 ,25.09               ,-0.49                     ,2.02           ,21.12     ,18.98      ,23.06     ,21.76     ,20.16      ,42.23     ,57.05                ,50.49         ,23.00,0.38       ,1.29           ,4.54                      ,23.24     ,19.12      ,21.39     ,57.24                ,14.58                   ,31.65   ,21.38                  ,-3.87          ,4.44                      ,-1814.91   , 
WEX   ,-0.96      ,100.22    ,432406    ,32.93                  ,68.66    ,4.34B     ,42             ,-0.63                     ,28.71     ,103.46    ,-2.27,-93.11      ,29.06                  ,-26.09            ,104.12                 ,IT Services                         ,NYSE    ,WEX INC                  ,Data Processing & Outsourced Services,--      ,101.61        ,100.22,100     ,305389       ,337946      ,141.56                  ,127.92                 ,No        ,101.21,101.81,100.25,90.67                 ,378005        ,351630     ,114.37                   ,122.94                ,Yes               ,Information Technology,--            ,101.61    ,99.59 ,400     ,374735      ,96.46                     ,115.36                 ,31.28M         ,No                  ,D  ,--       ,B                  ,20.00          ,6.67                  ,73.33           ,--                     ,--              ,15                ,2.53              ,57.48M    ,1.02B  ,57.48M  ,42.74M            ,1.48    ,1.48      ,2.62      ,5.34        ,5.18      ,3.82      ,2.48      ,15.00                       ,5.95    ,391.72            ,-1.38  ,-3.78                  ,-2.41                      ,-7.77                  ,-8.35                   ,-3.60                ,+59.89               ,+16.72               ,+1.83     ,104.01       ,109.83   ,21.10                  ,99.79     ,78.95    ,70.94                   ,3.23                         ,-1.35   ,-0.40 ,-12.94                 ,-0.02                 ,-3.27                  ,-7.10                    ,-8.95                ,+8.89                ,-7.26                ,+4.45             ,2               ,104.01    ,122.91  ,101.22      ,99.79   ,-20.64               ,1.57           ,-0.98    ,-0.39 ,-0.64                   ,-2.51                    ,-3.12                    ,-9.25                 ,+24.16               ,+31.85               ,-4.25                ,+1.17             ,108.90     ,122.91    ,101.22   ,99.79  ,2.22         ,14.00            ,-0.65         ,2.95              ,--                   ,68.66                    ,--              ,132.48       ,19.02                ,4.26     ,102.42    ,109.62    ,109.68     ,104.30    ,108.05     ,33.23                ,42.55     ,31.96                   ,6.89 ,108.29              ,-6.69                     ,-13.18         ,110.54    ,104.80     ,103.48    ,107.57    ,107.54     ,37.28     ,43.68                ,48.62         ,22.92,-2.25      ,-14.32         ,-12.02                    ,104.12    ,110.48     ,108.01    ,39.00                ,11.05                   ,30.77   ,99.96                  ,-7.52          ,-13.55                    ,-1223.05   , 
CW    ,+0.01      ,90.53     ,163737    ,35.15                  ,21.79    ,4.01B     ,14             ,-0.37                     ,29.78     ,92.31     ,-1.72,-81.20      ,39.02                  ,-3.61             ,93.31                  ,Aerospace & Defense                 ,NYSE    ,CURTISS-WRIGHT CORP      ,Aerospace & Defense                  ,0.52    ,90.52         ,90.51 ,200     ,255009       ,270798      ,64.21                   ,60.46                  ,No        ,90.52 ,91.28 ,90.58 ,87.02                 ,236516        ,274563     ,69.23                    ,59.64                 ,Yes               ,Industrials           ,0.60          ,90.52     ,90.05 ,100     ,238553      ,59.28                     ,68.64                  ,23.16M         ,No                  ,A  ,--       ,A-                 ,37.50          ,--                    ,62.50           ,--                     ,--              ,8                 ,2.25              ,187.33M   ,2.11B  ,187.33M ,44.31M            ,4.15    ,4.15      ,3.06      ,4.37        ,2.31      ,2.88      ,2.41      ,9.24                        ,8.88    ,263.62            ,+0.01  ,-0.78                  ,-2.99                      ,-4.97                  ,-6.14                   ,+25.04               ,+156.83              ,+8.77                ,+1.33     ,91.95        ,97.38    ,16.33                  ,89.00     ,73.95    ,60.98                   ,2.22                         ,+0.01   ,0.00  ,-8.85                  ,-0.01                 ,-3.33                  ,-5.21                    ,-7.84                ,+46.62               ,-7.09                ,+14.71            ,8               ,92.22     ,100.74  ,89.45       ,89.00   ,-16.10               ,0.75           ,+0.01    ,0.00  ,-0.34                   ,-2.79                    ,-3.55                    ,-5.92                 ,+21.29               ,+170.89              ,+0.58                ,+6.22             ,97.14      ,107.61    ,89.45    ,89.00  ,1.23         ,15.00            ,-0.48         ,0.94              ,--                   ,21.79                    ,58.24           ,63.17        ,20.70                ,1.90     ,91.22     ,96.14     ,96.07      ,92.96     ,95.14      ,29.67                ,44.11     ,33.37                   ,18.80,97.78               ,-5.88                     ,-7.66          ,96.22     ,92.65      ,92.54     ,95.08     ,94.65      ,39.13     ,44.09                ,41.48         ,21.74,-1.55      ,-7.87          ,-7.58                     ,93.31     ,98.01      ,95.33     ,39.10                ,13.80                   ,24.27   ,88.85                  ,-5.46          ,-8.16                     ,-134.74    , 
CLX   ,-0.12      ,134.35    ,353200    ,35.28                  ,26.99    ,17.26B    ,43             ,-0.34                     ,31.54     ,135.99    ,0.50 ,-85.38      ,62.18                  ,-29.70            ,136.90                 ,Household Products                  ,NYSE    ,CLOROX CO/DE             ,Household Products                   ,3.20    ,134.54        ,134.31,100     ,673480       ,974109      ,52.44                   ,36.26                  ,Yes       ,134.51,134.80,134.36,73.24                 ,741672        ,917506     ,47.62                    ,38.50                 ,No                ,Consumer Staples      ,2.40          ,134.54    ,133.61,500     ,745333      ,41.64                     ,47.39                  ,91.13M         ,No                  ,C  ,***      ,A                  ,5.26           ,5.26                  ,73.68           ,10.53                  ,5.26            ,19                ,3.05              ,648.00M   ,5.76B  ,648.00M ,128.27M           ,4.99    ,4.92      ,4.37      ,5.32        ,4.23      ,4.30      ,4.08      ,6.75                        ,11.25   ,720.13            ,-0.19  ,-0.78                  ,-1.72                      ,+10.68                 ,+3.80                   ,+28.59               ,+127.27              ,-0.68                ,+0.41     ,135.62       ,139.30   ,5.67                   ,134.12    ,111.24   ,37.82                   ,1.75                         ,-0.14   ,-0.03 ,+13.78                 ,-0.02                 ,-2.47                  ,+8.62                    ,+12.84               ,+66.25               ,+13.08               ,+279.91           ,8               ,137.27    ,139.30  ,134.12      ,134.12  ,-22.37               ,0.45           ,-0.16    ,-0.02 ,-0.45                   ,-2.36                    ,-1.80                    ,+4.93                 ,+9.70                ,+70.53               ,+9.15                ,+14.98            ,139.30     ,140.47    ,134.12   ,118.41 ,1.19         ,81.00            ,-0.74         ,1.16              ,--                   ,27.35                    ,--              ,605.05       ,25.28                ,3.00     ,136.14    ,132.18    ,123.95     ,135.86    ,128.94     ,32.87                ,57.45     ,23.60                   ,14.62,139.37              ,-2.26                     ,11.83          ,130.20    ,126.64     ,136.70    ,132.62    ,128.24     ,57.06     ,57.74                ,20.87         ,7.87 ,1.29       ,10.57          ,11.84                     ,136.90    ,124.96     ,131.58    ,57.62                ,15.45                   ,4.83    ,134.43                 ,-2.56          ,9.40                      ,-2813.88   , 
BSBR  ,-0.34      ,8.82      ,1706778   ,35.29                  ,15.92    ,33.77B    ,18             ,+0.39                     ,26.38     ,9.44      ,-0.46,-89.95      ,57.14                  ,-35.73            ,9.73                   ,Banks                               ,NYSE    ,BANCO SANTANDER BRASIL  -,Diversified Banks                    ,0.43    ,8.86          ,8.82  ,9300    ,5542384      ,1524805     ,30.80                   ,111.93                 ,No        ,8.85  ,8.91  ,8.83  ,0.63                  ,2608916       ,1772569    ,65.42                    ,96.29                 ,No                ,Financials            ,4.90          ,8.86      ,8.70  ,4300    ,2469217     ,48.07                     ,69.12                  ,48.99M         ,No                  ,-- ,--       ,--                 ,--             ,--                    ,--              ,66.67                  ,33.33           ,6                 ,4.33              ,2.13B     ,27.27B ,2.13B   ,7.56B             ,0.56    ,0.56      ,0.74      ,--          ,0.43      ,0.43      ,0.41      ,9.23                        ,5.89    ,--                ,-0.04  ,+0.02                  ,-8.96                      ,-0.0417                ,-12.92                  ,+135.11              ,+42.89               ,+62.52               ,+1.58     ,8.92         ,11.28    ,2.84                   ,8.63      ,4.41     ,42.86                   ,8.50                         ,-0.45   ,-0.01 ,-0.45                  ,-0.01                 ,-1.0882                ,-0.47                    ,+3.88                ,+91.34               ,+3.42                ,+8.49             ,8               ,9.32      ,11.75   ,8.63        ,8.63    ,-4.29                ,0.09           ,-0.03    ,-0.11 ,+0.034                  ,-0.8725                  ,-10.94                   ,-1.3148               ,+99.21               ,+72.49               ,+37.22               ,+1.12             ,11.04      ,11.75     ,8.63     ,8.63   ,0.21         ,27.00            ,-0.12         ,0.68              ,--                   ,15.92                    ,2.02            ,--           ,--                   ,2.46     ,9.23      ,10.32     ,9.13       ,9.62      ,9.37       ,26.98                ,46.88     ,34.05                   ,10.05,10.96               ,-2.13                     ,-0.26          ,10.21     ,8.03       ,9.57      ,9.87      ,9.14       ,41.13     ,47.08                ,58.01         ,10.11,-0.33      ,-1.42          ,-0.32                     ,9.73      ,9.39       ,9.80      ,41.42                ,9.05                    ,9.59    ,8.50                   ,-2.02          ,-1.48                     ,-15708.73  , 
